Показник,Територіальний розріз,Напрям природоохоронної діяльності,Вид економічної діяльності,Періодичність,Період,Значення cпостереження
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,3465000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,75700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,1653400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,393700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,29900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Поводження з відходами,Усього,Річна,2021,924400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Поводження з відходами,Усього,Річна,2022,264200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Поводження з відходами,Усього,Річна,2023,26882400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Поводження з відходами,Усього,Річна,2024,12722400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Поводження з відходами,Усього,Річна,2025,12832100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2024,25000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Радіаційна безпека,Усього,Річна,2024,4200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Житомирська,Радіаційна безпека,Усього,Річна,2025,4200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Очищення зворотних вод,Усього,Річна,2021,608400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Очищення зворотних вод,Усього,Річна,2022,7838900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Очищення зворотних вод,Усього,Річна,2023,54610900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Очищення зворотних вод,Усього,Річна,2024,53508900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Очищення зворотних вод,Усього,Річна,2025,16267900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,18809900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,3563200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,4764500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,3014300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,4113899.9999999995
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Радіаційна безпека,Усього,Річна,2021,3200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Радіаційна безпека,Усього,Річна,2022,9700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Радіаційна безпека,Усього,Річна,2023,8800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Інші напрями природоохоронної діяльності,Усього,Річна,2023,521700.00000000006
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Зниження шумового та вібраційного впливу,Усього,Річна,2022,57700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Зниження шумового та вібраційного впливу,Усього,Річна,2023,87600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Зниження шумового та вібраційного впливу,Усього,Річна,2024,114000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Зниження шумового та вібраційного впливу,Усього,Річна,2025,72000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Поводження з відходами,Усього,Річна,2021,10615600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Поводження з відходами,Усього,Річна,2022,10301700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Поводження з відходами,Усього,Річна,2023,18874200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Поводження з відходами,Усього,Річна,2024,31209500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Поводження з відходами,Усього,Річна,2025,60028600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,973000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,753400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,47184000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,56949600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,1002800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,152700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Закарпатська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,660000.0
